"entry_date","Source_ID","data_id_code","data_type","band_layer_name","in_class_field_name","in_class_value","in_class_description","in_class_description_detail","out_class_value","efg_code","efg_name","efg_description","get_link","mapping","EFG_out_membership_proportion","crosswalked_by","status","review_needed","reviewed","review_by","GET_version","Comment","crosswalk_acknowledgement","band_no","band_ID"
"2024/08/26 00:00:00",61,"usda_prico_lcov_2023","raster","IITF_GISciRS44_puertorico_landcov2000_cloudfor2class.tif_Band_1","raster code","20","Salt or Mud Flats","No further information",158,"MT1.2","Muddy shorelines","Mudflats occur on low-energy coastlines. Mud and silt, often from nearby rivers, protect the burrowing organisms living in these ecosystems from common shoreline stressors (e.g. high temperatures and desiccation) and predatory shorebirds, crabs and fish. These shorelines are critical stopovers and foraging grounds for migratory shorebirds. Primary productivity is mostly from diatoms (single-celled algae) that rely on tides. Oxygen can be low where sediments are very fine or burrowing or other disturbance is limited.","https://global-ecosystems.org/explore/groups/MT1.2","ValueToValue",,"Eileen_Helmer","final",,TRUE,"Naema_GrosDubois",2.1,NA,NA,"001","0061001"
"2024/08/26 00:00:00",61,"usda_prico_lcov_2023","raster","IITF_GISciRS44_puertorico_landcov2000_cloudfor2class.tif_Band_1","raster code","21","Mangrove","No further information",169,"MFT1.2","Intertidal forests and shrublands","Mangroves create structurally complex and productive ecosystems in the intertidal zone of depositional coasts, around tropical and warm temperate regions. The biota includes aquatic and terrestrial species, and intertidal specialists. Large volumes of mangrove leaves and twigs are decomposed by fungi and bacteria, mobilising carbon and nutrients for invertebrates such as crabs, worms and snails. Shellfish and juvenile fish are protected from desiccation and predators amongst mangrove roots. Mangrove canopies support many terrestrial species, particularly birds. These forests are important carbon sinks, retaining organic matter in sediments and living biomass.","https://global-ecosystems.org/explore/groups/MFT1.2","ValueToValue",,"Eileen_Helmer","final",,TRUE,"Naema_GrosDubois",2.1,NA,NA,"001","0061001"
"2024/08/26 00:00:00",61,"usda_prico_lcov_2023","raster","IITF_GISciRS44_puertorico_landcov2000_cloudfor2class.tif_Band_1","raster code","22","Seasonally Flooded Savannahs and Woodlands","No further information",255,"NA","No Data","No Data",NA,"ValueToValue",,"Eileen_Helmer","final",,TRUE,"Naema_GrosDubois",2.1,"In dry areas and probably mangroves before historical clearing for agriculture or grazing.",NA,"001","0061001"
"2024/08/26 00:00:00",61,"usda_prico_lcov_2023","raster","IITF_GISciRS44_puertorico_landcov2000_cloudfor2class.tif_Band_1","raster code","23","Pterocarpus Swamp","No further information",70,"TF1.1","Tropical flooded forests and peat forests","These tropical swamps have closed forest canopies and experience high rainfall and consistent temperatures all year. In some, peat accumulates in anaerobic black water conditions, while others are highly productive white-water systems, with frequent refilling and turnover of nutrients. Trees and other plants, such as palms, pitcher plants, epiphytic mosses and ferns grow in soils that are waterlogged or periodically inundated.","https://global-ecosystems.org/explore/groups/TF1.1","ValueToValue",,"Eileen_Helmer","final",,TRUE,"Naema_GrosDubois",2.1,"Not sure how to crosswalk.",NA,"001","0061001"
"2024/08/26 00:00:00",61,"usda_prico_lcov_2023","raster","IITF_GISciRS44_puertorico_landcov2000_cloudfor2class.tif_Band_1","raster code","24","Tidally Flooded Evergreen Dwarf-Shrubland and Forb Vegetation","No further information",255,"NA","No Data","No Data",NA,"ValueToValue",,"Eileen_Helmer","final",,TRUE,"Naema_GrosDubois",2.1,"A small wetland. Not sure how to crosswalk",NA,"001","0061001"
"2024/08/26 00:00:00",61,"usda_prico_lcov_2023","raster","IITF_GISciRS44_puertorico_landcov2000_cloudfor2class.tif_Band_1","raster code","25","Quarries","No further information",255,"NA","No Data","No Data",NA,"ValueToValue",,"Eileen_Helmer","final",,TRUE,"Naema_GrosDubois",2.1,"These are open-pit limestone quarries.",NA,"001","0061001"
"2024/08/26 00:00:00",61,"usda_prico_lcov_2023","raster","IITF_GISciRS44_puertorico_landcov2000_cloudfor2class.tif_Band_1","raster code","26","Coastal Sand and Rock","No further information",159,"MT1.3","Sandy shorelines","Beaches, sand bars and spits are exposed to waves and tides on moderate-high energy coasts, and rely on drift seaweed and surf-zone phytoplankton for nutrients. Polychaete worms, bivalve shellfish and a range of smaller invertebrates burrow in the shifting sediments, while larger vertebrate animals like seabirds, egg-laying turtles and scavenging foxes can also be found at various times. Storm tides and waves periodically restructure the sediments and profoundly influence the traits of the organisms living in these highly dynamic systems.","https://global-ecosystems.org/explore/groups/MT1.3","ValueToValue",,"Eileen_Helmer","final",,TRUE,"Naema_GrosDubois",2.1,"The majority of this class is sandy shorelines, but it also includes rockly shorelands",NA,"001","0061001"
"2024/08/26 00:00:00",61,"usda_prico_lcov_2023","raster","IITF_GISciRS44_puertorico_landcov2000_cloudfor2class.tif_Band_1","raster code","27","Bare Soil (including bulldozed land)","No further information",255,"NA","No Data","No Data",NA,"ValueToValue",,"Eileen_Helmer","final",,TRUE,"Naema_GrosDubois",2.1,NA,NA,"001","0061001"
"2024/08/26 00:00:00",61,"usda_prico_lcov_2023","raster","IITF_GISciRS44_puertorico_landcov2000_cloudfor2class.tif_Band_1","raster code","28","Water - Permanent","No further information",255,"NA","No Data","No Data",NA,"ValueToValue",,"Eileen_Helmer","final",,TRUE,"Naema_GrosDubois",2.1,NA,NA,"001","0061001"
"2024/08/26 00:00:00",61,"usda_prico_lcov_2023","raster","IITF_GISciRS44_puertorico_landcov2000_cloudfor2class.tif_Band_1","raster code","29","Elfin and Sierra Palm Cloud Forest","No further information",3,"T1.3","Tropical/Subtropical montane rainforests","These mountain rainforests are characterised by a single-layered tree canopy, with epiphytic ferns, bryophytes, lichens, orchids, and bromeliads draping tree branches. Grasses are rare or absent. At high altitude forest structure becomes less complex, with dwarf tree forms. Although rainfall is abundant (up to 6000 mm per year), productivity is limited by cool temperatures, wind exposure and shallow soils, although under the canopy a moist shady microclimate provides stable habitat for a frog, bird, plant and invertebrate species that are found nowhere else.","https://global-ecosystems.org/explore/groups/T1.3","ValueToValue",,"Eileen_Helmer","final",,TRUE,"Naema_GrosDubois",2.1,NA,NA,"001","0061001"
